Position,Track Name,Artist,Streams,URL
137,Can't Explain,Lil Baby,298296,https://open.spotify.com/track/3PSUg0M68bXMb8vQJIPMZO
138,Maniac,Conan Gray,297821,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
139,ON (Feat. Sia),BTS,296412,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
140,Lose You To Love Me,Selena Gomez,293948,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
141,What If I Told You That I Love You,Ali Gatie,293643,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
142,F.N,Lil Tjay,291423,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
143,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,288921,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
144,The London (feat. J. Cole & Travis Scott),Young Thug,288621,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
145,Beautiful Crazy,Luke Combs,288007,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
146,Trust,Brent Faiyaz,286807,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
147,No Me Conoce - Remix,Jhay Cortez,285796,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
148,100 Shots,NLE Choppa,283879,https://open.spotify.com/track/1eto1iY3lVWyJhejV6Mi6J
149,I Fall Apart,Post Malone,283302,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
150,Legends,Juice WRLD,283250,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
151,Juicy (feat. Tyga),Doja Cat,280502,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
152,Armed And Dangerous,Juice WRLD,280141,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
153,Better Now,Post Malone,279922,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
154,July,Noah Cyrus,278596,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
155,I Don't Care (with Justin Bieber),Ed Sheeran,277505,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
156,VALENTINO,24kGoldn,276190,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
157,7 rings,Ariana Grande,274711,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
158,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",Lil Baby,274369,https://open.spotify.com/track/7Fos4vYGRc7HYzzrKCEzAE
159,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,273307,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
160,XO Tour Llif3,Lil Uzi Vert,272814,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
161,Lalala,Y2K,272027,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
162,Moonlight,XXXTENTACION,271240,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
163,goosebumps,Travis Scott,269117,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
164,Heartless (feat. Morgan Wallen),Diplo,269108,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
165,Consistent,Lil Baby,268594,https://open.spotify.com/track/7euzAmn980JdEcYbIeWHtB
166,Yes Indeed,Lil Baby,268268,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
167,Good News,Mac Miller,267442,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
168,me & ur ghost,blackbear,267383,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
